Date,SockeyeCount,RiverTemperature,RiverHeight
06/24/03,0,,
06/25/03,0,,1.74
06/26/03,0,13.9,1.69
06/27/03,14,12.8,1.54
06/28/03,10,11.7,1.66
06/29/03,65,11.7,2.05
06/30/03,1,9.7,1.9
07/01/03,19,10.6,2.05
07/02/03,6,10.9,2.2
07/03/03,11,10.3,1.85
07/04/03,37,8.6,1.76
07/05/03,"1,493",10.3,1.9
07/06/03,"2,858",11.2,1.72
07/07/03,174,12,1.56
07/08/03,"1,536",13.9,1.51
07/09/03,"2,594",13.1,1.41
07/10/03,13,11.4,1.38
07/11/03,"1,296",13.4,1.31
07/12/03,"3,760",13.1,1.26
07/13/03,"3,280",14.2,1.21
07/14/03,"1,369",14,1.15
07/15/03,146,9,1.12
07/16/03,"1,850",8.5,1.12
07/17/03,"1,063",11,1.12
07/18/03,"3,816",11,1.05
07/19/03,"2,858",7,0.98
07/20/03,"1,741",14.5,0.94
07/21/03,717,12.5,0.89
07/22/03,15,12,0.94
07/23/03,689,11.5,1.05
07/24/03,253,13,1.15
07/25/03,472,13,1.12
07/26/03,250,9.5,1.05
07/27/03,"1,677",9.5,1.05
07/28/03,705,10.5,0.98
07/29/03,296,10,1.05
07/30/03,340,8.8,1.02
07/31/03,"1,293",9,0.98
08/01/03,463,11,0.94
08/02/03,742,9.8,0.89
08/03/03,471,11,0.92
08/04/03,561,11.8,0.89
08/05/03,332,12.3,0.89
08/06/03,340,12,0.89
08/07/03,233,12,0.85
08/08/03,534,14,0.85
08/09/03,321,15,0.82
08/10/03,104,14,0.79
08/11/03,139,14,1.05
08/12/03,159,11.5,1.31
08/13/03,54,10,1.28
08/14/03,52,9,1.21
08/15/03,133,10,1.18
08/16/03,239,9.5,1.07
08/17/03,95,9,1.12
08/18/03,140,8.5,1.02
08/19/03,69,8.5,0.98
08/20/03,136,9,0.98
08/21/03,88,9,0.98
08/22/03,11,8.8,0.98
08/23/03,42,9.5,1.02
08/24/03,106,8.3,1.05
08/25/03,121,9.5,1.28
08/26/03,102,9,1.92
08/27/03,23,10.5,1.8
08/28/03,42,11.3,1.72
08/29/03,22,11.5,1.62
08/30/03,6,10.8,1.51
08/31/03,1,10.3,1.51
09/01/03,28,10,1.36
09/02/03,24,9.5,1.38
09/03/03,21,9,1.33
09/04/03,7,8.5,1.33
09/05/03,7,7.8,1.31
09/06/03,14,7.8,1.31
09/07/03,6,8.5,1.31
09/08/03,1,7.3,1.31
09/09/03,2,5.5,1.25
09/10/03,6,6.5,1.21
09/11/03,5,6.5,1.21
09/12/03,0,5.3,1.12
09/13/03,5,4.5,1.12
09/14/03,5,4.8,0.98
06/20/04,0,,
06/21/04,0,,2.64
06/22/04,0,,2.68
06/23/04,4,,2.82
06/24/04,0,,2.78
06/25/04,3,10,2.685
06/26/04,0,10.5,2.61
06/27/04,3,12.5,2.535
06/28/04,4,14,2.42
06/29/04,380,14.5,2.39
06/30/04,"3,059",13.5,2.365
07/01/04,"3,728",14,2.34
07/02/04,"2,237",14,2.31
07/03/04,"4,570",15.25,2.29
07/04/04,"2,021",13.5,2.33
07/05/04,"2,131",13.5,2.19
07/06/04,"5,777",14.75,2.16
07/07/04,"3,061",13,2.11
07/08/04,"4,094",13.25,2.09
07/09/04,"6,560",14,2.055
07/10/04,"3,730",15.25,2.01
07/11/04,"1,488",14.25,1.97
07/12/04,"3,359",15.5,1.95
07/13/04,"2,059",15,1.94
07/14/04,"3,421",15.5,1.89
07/15/04,"2,518",16.25,1.875
07/16/04,"2,083",15.75,1.895
07/17/04,"1,978",16.25,1.9
07/18/04,"1,701",15,2.02
07/19/04,973,14.5,2.02
07/20/04,"2,011",15.25,1.92
07/21/04,"1,883",14.75,1.9
07/22/04,"2,219",16.25,1.875
07/23/04,"1,725",15,1.865
07/24/04,"1,495",16.75,1.815
07/25/04,"1,133",16.25,1.8
07/26/04,348,15,1.78
07/27/04,751,14.5,1.78
07/28/04,"1,925",15,1.85
07/29/04,"1,227",16,1.865
07/30/04,860,15.5,1.92
07/31/04,688,15,1.87
08/01/04,678,15,1.9
08/02/04,813,15,1.815
08/03/04,300,13.5,1.815
08/04/04,630,14,1.87
08/05/04,914,13.75,1.875
08/06/04,388,13.75,1.865
08/07/04,294,13.25,1.865
08/08/04,343,13,2.07
08/09/04,348,12.5,2.725
08/10/04,376,12.75,2.54
08/11/04,359,14,2.45
08/12/04,118,13.5,2.53
08/13/04,106,13.5,3.69
08/14/04,45,13.25,3.825
08/15/04,103,14.25,3.72
08/16/04,111,13.75,3.55
08/17/04,507,13,3.27
08/18/04,278,12.5,3.26
08/19/04,260,15.75,2.99
08/20/04,144,15.5,2.845
08/21/04,122,15,2.735
08/22/04,57,14.5,2.68
08/23/04,53,14,2.525
08/24/04,58,13.75,2.515
08/25/04,51,13.5,2.45
08/26/04,52,11.5,2.37
08/27/04,62,11.5,2.325
08/28/04,95,11.75,2.29
08/29/04,36,12.75,2.215
08/30/04,55,11.75,2.2
08/31/04,22,10.5,2.16
09/01/04,34,10.5,2.13
09/02/04,3,8,2.11
09/03/04,80,8.75,2.1
09/04/04,74,8.75,2.1
09/05/04,132,9.25,2.1
09/06/04,24,10.25,2.005
09/07/04,7,,
09/08/04,2,,
09/09/04,4,,
09/10/04,22,,
09/11/04,5,,
09/12/04,10,,
09/13/04,12,,
09/14/04,23,,
06/25/05,0,15,2.785
06/26/05,0,13,2.425
06/27/05,0,14.5,2.69
06/28/05,139,15,2.63
06/29/05,"2,228",15,2.62
06/30/05,"1,611",14,2.58
07/01/05,585,13.25,2.48
07/02/05,"1,282",10.5,2.44
07/03/05,"1,022",10.75,2.33
07/04/05,"5,393",13,2.3
07/05/05,"2,003",12.5,2.24
